Section	Phonetic	Irish	French	Alt1	Gram. note
6	fʹαr	fear	homme		le génitif fʹirʹ (fir)
6	fʹirʹ	fir			
6	pɑkə	paca	sac		
6	pʹαkə	peaca	péché		
6	bo:	bó	vache		
6	bʲo:	beó	vivant		
6	tᴀᴜn	tonn	une vague		
6	tʲaᴜn	teann	trapu		
6	do:	dóghadh	brûler		
6	dʲo:	deó			dans go dʲo: toujours
6	kɑrtʹ	cairt	voiture		
6	kʹαrt	ceart	droit, juste		
6	gɑl	gal	fumée		
6	gʹαl	geal	brillant		
6	mᴜ:ⁱnʹ	móin	tourbe		
6	mʲᴜ:n	meón	caractère		
6	ə ŋᴀᴜl	i ngabhal	entre, mêlé à		de gᴀᴜl
6	ɩ ŋʲaᴜl	i ngeall	en garantie		de gʲaᴜl
6	kɑ:s	cás	destin		
6	kɑ:ʃ	cáis	fromage		
6	fɑd	fad	longueur		
6	fʹαd	fead	sifflet		
6	do vᴜ:ⁱnʹ	do mhóin	ta tourbe		
6	do vʲᴜ:n	do mheón	ton content		
6	də χɑrtʹ	do chairt	ta voiture		
6	də çαrt	do cheart	ton droit		
6	ɑnəǥɑl	anaghal	fumée épaisse		
6	ɑnɩjαl	anagheal	très brillant		
6	kɑ:l	cál	droit, récla­mation		
6	kɑ:ⁱlʹ	cáil	répu­tation		
6	ᴜ:r	úr	frais		
6	ᴜ:ⁱrʹ	úir	terre, terreau		
6	bro:g	bróg	soulier		dat. bro:ⁱgʹ (bróig)
6	bro:ⁱgʹ	bróig			
6	bro:n	brón	chagrin		gén. bro:ⁱnʹ (bróin)
6	bro:ⁱnʹ	bróin			
6	sɑgərt	sagart	prêtre		plur. sɑgərtʹ (sagairt)
6	sɑgərtʹ	sagairt			
