Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section
244	bɔləg	bolg	ventre				
244	marʹɩgʹ	mairg	pitié, malheur				
244	fɔrəməd	formad	envie				
244	bɑləv	balbh	bègue, muet				
244	fɔnəvər	fonnmhar	désireux				
244	dʌrəχə	dorcha	sombre				
246	αgᵊlə	eagla	crainte				
246	glɑ̃:n	glán	propre				
246	ɔkᵊrəs	ocras	faim				
246	krɑ:	crádh	contrariété				
246	lɑsᵊrəχ	lasrach	éclair				
246	srɑ:ⁱdʹ	sráid	rue				
246	ɑχᵊrall	achrann	difficulté				
246	ə χrɑ:	do chrádh	contrarier				
246	fʷɪ:hɩrʹəχ	faoithireach	moquerie				
246	αhɩrʹɩʃ	aithris	imitation				
246	də hrʹi·əl	do thriall	le but de ton voyage				
246	ʃaᴜmᵊrə	seomra	chambre				
246	mraχtɩnʹtʹ	mrachtaint	vivre				
247	αgʹɩnʹɩ	aigne	esprit				
247	gnʹi:ᵊv	gníomh	action				
247	fʷɪhɩnʲəχ	foithineach	abrité				
247	imʹɩnʹi:	imshníomh	souci				
247	mnɪ:	mnaoi			dat. de bʹαn (bean)		
247	bʹαn	bean	femme				
248	ɑdᵊvʷɪ:mʹ	admhuighim	j’avoue				
248	gvɑ:ⁱlʹtʹ	gabháilt	prendre				279
249	əbrɑ̃:n	Abrán	Avril				
249	brɑt	brat	châle				
249	ɑbᵊrɩmʹ						
249	əblɑ:ⁱlʹ	abláil	faire un travail léger, bricoler				
249	əprᴜ:n	aprún	tablier				
249	lʹαdrɑ̃:nəχ	leadránach	paresseux, trainard				
249	drαdʹ	draid	fait de montrer les dents				
249	αdᵊrɩnʹ	eadrainn	entre nous				
249	poklʹe:mʹ	pocléim	saut				
249	klʹe:rʹəχ	cléireach	sacristain				
249	pʹi·əkᵊləχ						246
249	ɛbʹrʹᴜ:	oibriughadh	travailler				
249	ebʹⁱrʹɩ	oibre			gén. de ɔbʷɩrʹ (obair)		
249	ɔbʷɩrʹ	obair	travail				
249	αmʹⁱlʹi:ᵊχt	aimlidheacht	maladresse				
249	αmʹⁱlʹɩhɩ	aimlithe	maladroit	αimʹlʹi:ᵊχt			
249	αhɩnʹɩ	aithne	connaissance				
249	αnʹhi:m	aithnighim	je reconnais		pour *αhnʹi:m		
249	kʹαhərər	ceathrar	quatre personnes				
249	kʹαrhᴜ:	ceathramha	quart	kʹαhərᴜ:			
250	rəχo:ⁱdʹ	urchôid	désastre				
250	rəχo:ⁱdʲəχ	urchóideach	désastreux				
250	rʌχər	urchor	jet				
