Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section
149	ïmel	imeall	bordure				
149	bʹïr	bior	pointe				
149	kʹïrtʹɩ	cirte			compar. de kʹαrt (ceart)		
149	kʹαrt	ceart	juste				
149	gʹïtə	giota	une bonne quantité				
149	sg̬rʹïs	scrios	ravage				
149	sg̬rʹïstə	scriosta	dépouillé, sans un sou				
149	glʹïsg̬ərnəχ	glioscarnach	scintillement				
149	pʹrʹïslɩrʹɩ	prioslaire	personne qui bave	pʹrʹïslɩrʹɩ		pʹrʹislɩrʹɩ	
149	mʹïnfrɑ:ti:	mionphrátaí	petites pommes de terre				
149	bʹrʹïtə	briota	petite quantité				
149	krʹïh	crith	trembler				
149	kʹïh	cith	ondée				
149	dʹrʹïhⁱlʹɩ	drithle	étincelle				
149	bʹrʹïsg̬			bʹrʹisg̬			
150	ïməl	imeall		ᴜməl		λməl	
150	ɩnʲ λməl	an imeall	la bordure				
150	gʹïlə	giolla	groom	gʲλlə			
150	lʹïbərnəχ	liobarnach	mal soigné, mal tenu (en parlant d’une personne)	lʹλbərnəχ			
152	ɑlɩʃ	alluis			gén. de ɑləs (allus)		
152	ɑləs	allus	sueur				
152	kʹigʹɩlʹɩʃ	cigilis	chatouillement				
152	dʲo̤kʷɩrʹ	deacair	difficile				
152	dʹrʹe:mɩrʹɩ	dréimire	échelle				
152	dʹirʹɩgʹɩ	deirge			comp. de dʹαrəg (dearg)		
152	dʹαrəg	dearg	rouge				
152	fʹi·əkʷɩlʹ	fiacail	dent				
152	idʹɩrʹ	idir	entre				
152	lʹαnɩmʹ	leanaim	je suis				
152	mɑ:hɩrʹ	máthair	mère				
152	sɔlɩʃ	solais			gén. de sɔləs (solas)		
152	sɔləs	solas	lumière				
152	tᴜkʷɩgʹ	tiocfaidh	(il) viendra				
152	ᴜɛgʹɩnʹəs	uaigneas	solitude	ᴜɛgʹⁱnʹəs			
153	ɩlʲɑ̃:n	oileán	île				
153	bʹɩʃα·χ	biseach	profit				
153	k(ʷ)iʃlʲɑ̃:n	caisleán	château				
153	kʷɩrʲᴜ:	cuiriughadh	envoûtement				
153	k(ʷ)ɩtʹi:ᵊntə	coitchiannta	usuel	kətʹi:ᵊntə			
153	kʹɩnʲɑ:l	cineál	affection				
153	fʹɩlʹi:ᵊχt	filidheacht	poésie				
153	mʹɩnʲɑ:l	muineál	cou				
153	lʹɩtʹⁱrʲᴜ:	leitriughadh	orthographe				
153	glʹɩma·χ	gliomach	homard				
153	ɛbʹⁱrʹi:mʹ	oibrighim	je travaille				
153	αʃtʹrʹi:mʹ	aistrighim	je déménage				
153	kalʹi:nʹ´	cailín	jeune fille				
153	talʲu:ⁱrʹ	tailliúir	tailleur				
155	bʷᴇ̈:ᵊl	baoghal	danger				
155	bʷᴇ̈:ᵊχ	buidheach	reconnaissant				
155	kʷᴇ̈:ᵊl	caol	mince				
155	kʷᴇ̈:	caoi	moyen				
155	dᴇ̈:r	daor	cher				
155	ᴇ̈:ᵊn	aon	un				
155	ᴇ̈:r	aer	air				
155	fʷᴇ̈:r	faobhar	tranchant				
155	gwᴇ̈ᵊl	gaol	parenté				
155	lᴇ̈ᵊχ	laoch	héros				
155	mʷᴇ̈:həl	maothal	premier lait de la vache qui vient de vêler				
155	mʷᴇ̈:ᵊl	maol	chauve				
155	nᴇ̈:ᵊvo:g	naobhog	barque				
155	pʷᴇ̈:ᵊr	paor	tête de turc				
155	rᴇ̈ᵊbə	réabadh	déchirer				
155	rᴇ̈:ᵊχt	reidheacht	vie, situation facile				
155	sᴇ̈:hər	saothar	effort, halètement				
155	sᴇ̈ᵊl	saoghal	monde, vie				
155	tᴇ̈:ᵊv	taobh	côté				
155	tᴇ̈:s	taos	pâte				
156	sᴇ̈:lʹ	saoghail			gén. de sᴇ̈:ᵊl (saoghal)		
156	sᴇ̈:ᵊl	saoghal	monde, vie				
156	rᴇ̈:gʹ	réidh	uni, facile				
156	rᴇ̈:lʹhi:nʹ	réilthin	étoile				
